id,sentence,subject,object,label
323,4월 26일 이승만 대통령이 하야를 선언하여 제1공화국은 붕괴했다.,"{'text': '4월 26일', 'start_idx': '0', 'end_idx': '5', 'entity_type': 'DATE'}","{'text': '하야', 'start_idx': '16', 'end_idx': '17', 'entity_type': 'EVENT'}",date:event
130,"1959년 곳곳에서 정부의 독재에 저항하는 집회가 시작, 1960년 3월 15일 부통령 선거의 부정을 계기로 국민들의 불만은 극에 달해 4·19 혁명이 발생했고, 마산 앞바다에서 며칠 전 실종되었던 김주열의 주검이 떠오르면서 시위는 격화되었다.","{'text': '1959년', 'start_idx': '0', 'end_idx': '4', 'entity_type': 'DATE'}","{'text': '집회', 'start_idx': '24', 'end_idx': '25', 'entity_type': 'EVENT'}",date:event
908,"정당은 의회정치라는 기계를 움직이는 엔진이라고 할 만큼 중요한 공적 조직이며, 정당이 없는 민주정치는 생각할 수도 없다.","{'text': '정당', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'ORG'}","{'text': '엔진', 'start_idx': '20', 'end_idx': '21', 'entity_type': 'ORG'}",no_relation
123,그리스의 법치는 로마로 건너가 법치주의는 더욱 체계화된다.,"{'text': '그리스', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'ORG'}","{'text': '로마', 'start_idx': '9', 'end_idx': '10', 'entity_type': 'ORG'}",no_relation
916,"즉 대통령은 헌법 개정안의 제안권, 국가 안위에 관한 중요 정책을 국민 투표에 붙일 수 있는 권리, 국회 임시 회의 집회 요구권 등 강력한 권한을 가지고 있다.","{'text': '대통령', 'start_idx': '2', 'end_idx': '4', 'entity_type': 'PER'}","{'text': '제안권', 'start_idx': '15', 'end_idx': '17', 'entity_type': 'LAW'}",no_relation
1017,근대 서양에서 발전시킨 개념 'right'는 헨리 휘튼의 '국제법 원리'라는 책을 윌리엄 마틴이 중국어로 '권리'라고 번역하면서 소개되었다.,"{'text': '헨리 휘튼', 'start_idx': '25', 'end_idx': '29', 'entity_type': 'PER'}","{'text': '국제법', 'start_idx': '33', 'end_idx': '35', 'entity_type': 'LAW'}",per:theory
1124,"또한, 대한민국은 대한민국 헌법을 비롯한 국내법상 조선민주주의인민공화국이 차지하고 있는 지역 일체를 대한민국의 고유한 영토로 간주하고 있으며, 따라서 자국 영토를 불법적으로 점거하는 반국가단체로 본다.","{'text': '조선민주주의인민공화국', 'start_idx': '28', 'end_idx': '38', 'entity_type': 'ORG'}","{'text': '반국가단체', 'start_idx': '102', 'end_idx': '106', 'entity_type': 'ORG'}",org:naming
783,"행정의 형식적 개념에서는 행정 기관이 행하는 모든 작용이 행정에 포함되겠지만, 삼권 분립주의가 국가 권력을 약화시키고 국민의 기본권을 보장하려는 정책적 동기에서 나왔기 때문에 행정의 실질적 개념을 규명할 필요가 있으리라고 생각한다.","{'text': '행정 기관', 'start_idx': '14', 'end_idx': '18', 'entity_type': 'ORG'}","{'text': '기본권', 'start_idx': '70', 'end_idx': '72', 'entity_type': 'LAW'}",no_relation
721,강대국이 약소국에 부당한 압력을 행사하여 자국의 뜻에 따르도록 강요하는 것이 대표적인 예이다.,"{'text': '강대국', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'ORG'}","{'text': '약소국', 'start_idx': '5', 'end_idx': '7', 'entity_type': 'ORG'}",no_relation
508,"그리고 1970년대 에콰도르에서와 같은 높은 불평등을 겪고 있는 나라들에서, 그 결과는 민주화의 더 높은 가능성이 될 것이다.","{'text': '1970년대', 'start_idx': '4', 'end_idx': '9', 'entity_type': 'DATE'}","{'text': '에콰도르', 'start_idx': '11', 'end_idx': '14', 'entity_type': 'ORG'}",no_relation
